run,frames,rows,unique_q,dupes,errors,no_answer,accuracy,prompt_tok_median,tools,crop_source,proxy,prompt_style,temperature,max_tokens,max_rounds,seed,port,launched
lvbench_r5_seed0,64,1549,1549,0,0,0,55.39,6586,crop_video,oracle,skim_proxies,longvt,0.7,1024,5,0,8030,2026-08-13 02:54:15
lvbench_d6_l_256f_2xbudget_seed0,256,500,500,0,0,0,45.8,24527,none,model,skim_proxies_hires_256,longvt,0.7,1024,5,0,8043,2026-08-16 08:17:43
lvbench_pB_128f_uni_2x_seed0,128,500,500,0,0,0,44.8,24094,none,model,skim_proxies_hires_128,longvt,0.7,1024,5,0,8045,2026-08-16 15:14:17
lvbench_diag256_seed0,256,253,253,0,0,2,44.66,13180,none,model,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-13 03:03:39
lvbench_pA_128f_uni_1x_seed0,128,500,500,0,0,0,44.2,12321,none,model,skim_proxies_hires_128,longvt,0.7,1024,5,0,8044,2026-08-16 14:47:03
lvbench_d5_j_256f_uniform_seed0,256,1549,1549,0,0,0,44.16,13136,none,model,skim_proxies_hires_256,longvt,0.7,1024,5,0,8041,2026-08-16 03:51:57
lvbench_d5_k_256f_evs_seed0,256,1549,1549,0,0,1,43.32,13132,none,model,skim_proxies_hires_256,longvt,0.7,1024,5,0,8042,2026-08-16 05:31:03
lvbench_pA_CONTAMINATED_resume_dupes,128,777,500,277,0,0,43.24,12321,none,model,skim_proxies_hires_128,longvt,0.7,1024,5,0,8044,2026-08-16 14:29:05
lvbench_pD_128f_evs_050_seed0,128,500,500,0,0,0,42.8,12446,none,model,skim_proxies_hires_128,longvt,0.7,1024,5,0,8047,2026-08-16 16:38:23
lvbench_run5_seed0,256,400,400,0,0,4,42.75,15022,crop_video,model,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-13 03:05:32
lvbench_pC_128f_vidcom2_050_seed0,128,500,500,0,0,1,42.6,12446,none,model,skim_proxies_hires_128,longvt,0.7,1024,5,0,8046,2026-08-16 16:06:43
lvbench_d4_i_256f_vidcom2_seed0,256,1549,1549,0,0,0,42.54,13133,none,model,skim_proxies_hires_256,longvt,0.7,1024,5,0,8040,2026-08-14 14:24:47
lvbench_d4_g_64f_noprune_seed0,64,1549,1549,0,0,0,42.16,12106,none,model,skim_proxies_hires_64,longvt,0.7,1024,5,0,8038,2026-08-14 10:28:25
lvbench_armA_ts_seed0,64,1549,1549,0,0,3,40.87,9991,crop_video,,skim_proxies,longvt,0.7,1024,5,0,8030,2026-08-12 06:32:16
lvbench_D1_inf_run2_seed0,64,150,150,0,0,2,40.67,4407,crop_video,model,skim_proxies,informed,0.7,1024,5,0,8031,2026-08-13 14:05:59
lvbench_armA_seed0,64,1549,1549,0,0,1,40.28,4532,crop_video,,none,longvt,0.7,1024,5,0,8030,2026-08-12 02:47:10
lvbench_r1_seed0,64,1549,1549,0,0,0,39.77,4045,none,model,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-13 06:06:05
lvbench_d3_e_nopruning_seed0,32,1549,1549,0,0,0,39.7,11807,none,model,skim_proxies_hires,longvt,0.7,1024,5,0,8036,2026-08-14 02:55:23
lvbench_r2_seed0,64,1549,1549,0,0,16,39.57,6076,crop_video,model,skim_proxies,longvt,0.7,1024,5,0,8030,2026-08-13 00:50:18
lvbench_D2_oracle_compressed_seed0,256,150,150,0,0,0,39.33,8150,crop_video,oracle,skim_proxies,longvt,0.7,1024,5,0,8035,2026-08-14 01:13:37
lvbench_run1_seed0,64,1549,1549,0,0,2,38.99,4091,none,,skim_proxies,longvt,0.7,1024,5,0,8030,2026-08-12 13:54:40
lvbench_longvt_seed0,64,1549,1549,0,0,4,38.73,6048,crop_video,model,skim_proxies,longvt,0.7,1024,5,0,8033,2026-08-13 04:41:28
lvbench_c3_notool_seed0,256,1549,1549,0,0,18,37.96,4445,none,model,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-13 04:47:51
lvbench_ctrl_seed0,64,1549,1549,0,0,12,37.06,6479,crop_video,ctrl,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-13 01:50:48
lvbench_d3_f_vidcom2_seed0,32,1549,1549,0,0,1,35.7,3167,none,model,skim_proxies_hires,longvt,0.7,1024,5,0,8037,2026-08-14 04:05:27
lvbench_D1_inf_run4_seed0,256,150,150,0,0,1,34.67,5282,crop_video,model,skim_proxies,informed,0.7,1024,5,0,8035,2026-08-13 14:07:30
lvbench_r4_seed0,256,1548,1548,0,0,4,33.59,6167,crop_video,,skim_proxies,longvt,0.7,1024,5,0,8031,2026-08-12 06:41:03
lvbench_r3_seed0,256,1549,1549,0,1362,1362,4.71,4395,none,model,skim_proxies,longvt,0.7,1024,5,0,8032,2026-08-13 10:08:45
